Name,Subject,PS,Year,WS,URL,,,,
A86,BA,Beijing Institute of Technology,2003,Qingdao University of Technology,http://glxy.qut.edu.cn/info/1010/4630.htm,,,,
A87,BA,Beijing Institute of Technology,,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsscyxx/b126522.htm,,,,
A88,BA,Beijing Institute of Technology,1999,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106107.htm,,,,
A89,BA,Beijing Institute of Technology,2010,Beijing International Studies University,http://guoshang.bisu.edu.cn/art/2012/6/7/art_11685_16062.html,,,,
A90,BA,Beijing Institute of Technology,2018,Beijing Institute of Technology,2022-5-509 from李爽,,,,
A91,BA,Beijing Institute of Technology,2018,Liaoning University,2022-5-510 from李爽,,,,
A92,MS&E,Beijing Institute of Technology,2015,Hebei University of Science  and  Technology,2022-5-511 from李爽,,,,
A93,MS&E,Beijing Institute of Technology,2015,Hebei University of Economics and Business,2022-5-512 from李爽,,,,
A94,MS&E,Beijing Institute of Technology,2015,Fujian Agriculture and Forestry University,2022-5-514 from李爽,,,,
A95,MS&E,Beijing Institute of Technology,2015,North China University of Technology,2022-5-515 from李爽,,,,
A96,MS&E,Beijing Institute of Technology,2017,University of Science and Technology Beijing,2022-5-524 from李爽,,,,
A97,MS&E,Beijing Institute of Technology,2017,Shanxi University of Finance and Economics,2022-5-525 from李爽,,,,
A98,MS&E,Beijing Institute of Technology,2016,Shandong University of Finance and Economics,2022-5-526 from李爽,,,,
A99,MS&E,Beijing Institute of Technology,2016,Beijing Information Science and Technology University,2022-5-528 from李爽,,,,
A100,MS&E,Beijing Institute of Technology,2016,China University of Mining  and  Technology  Beijing,2022-5-529 from李爽,,,,
A101,MS&E,Beijing Institute of Technology,2016,Shanxi University,2022-5-530 from李爽,,,,
A102,MS&E,Beijing Institute of Technology,2016,Hebei University of Science  and  Technology,2022-5-531 from李爽,,,,
A103,MS&E,Beijing Institute of Technology,2016,Beijing Foreign Studies University,2022-5-532 from李爽,,,,
A104,MS&E,Beijing Institute of Technology,2016,Beijing Institute of Technology,2022-5-533 from李爽,,,,
A105,MS&E,Beijing Institute of Technology,2015,Hebei University of Economics and Business,2022-5-534 from李爽,,,,
A106,MS&E,Beijing Jiaotong University,2009,Nankai University,https://bs.nankai.edu.cn/2019/0513/c13106a140606/page.htm,,,,
A107,MS&E,Beijing Jiaotong University,2007,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106105.htm,,,,
A108,MS&E,Beijing Jiaotong University,2020,Donghua University,https://glxy.dhu.edu.cn/42/78/c20164a279160/page.htm,,,,
A109,MS&E,Beijing Jiaotong University,2021,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156835/page.htm,,,,
A110,MS&E,Beijing Jiaotong University,2020,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156834/page.htm,,,,
A111,MS&E,Beijing Jiaotong University,2004,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0910/c12a156746/page.htm,,,,
A112,MS&E,Beijing Jiaotong University,2018,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156866/page.htm,,,,
A113,MS&E,Beijing Jiaotong University,2019,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/liuhengyu/zh_CN/index.htm,,,,
A114,MS&E,Beijing Jiaotong University,2018,North China Electric Power University,https://business.ncepu.edu.cn/szll2/szdw/7412bf94ea0c48aa8d122a7de884c451.htm,,,,
A115,MS&E,Beijing Jiaotong University,2007,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-129.html,,,,
A116,MS&E,Beijing Jiaotong University,2009,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-33.html,,,,
A117,MS&E,Beijing Jiaotong University,2013,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-35.html,,,,
A118,MS&E,Beijing Jiaotong University,2013,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-91.html,,,,
A119,MS&E,Beijing Jiaotong University,2014,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-104.html,,,,
A120,MS&E,Beijing Jiaotong University,2010,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-162.html,,,,
A121,MS&E,Beijing Jiaotong University,2011,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-166.html,,,,
A122,MS&E,Beijing Jiaotong University,2002,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-112.html,,,,
A123,MS&E,Beijing Jiaotong University,2014,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-207.html,,,,
A124,MS&E,Beijing Jiaotong University,2009,Shandong University of Finance and Economics,https://gkgc.sdufe.edu.cn/info/1117/2571.htm,,,,
A125,MS&E,Beijing Jiaotong University,2019,Shandong University of Finance and Economics,https://gkgc.sdufe.edu.cn/info/1117/2588.htm,,,,
A126,MS&E,Beijing Jiaotong University,2018,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/xk/glkxygcxa/zya/index.htm,,,,
A127,MS&E,Beijing Jiaotong University,2010,Beijing Institute of Technology,https://sme.bit.edu.cn/gbszdw/gbjxzy/gbsglkxywlx/b126429.htm,,,,
A128,BA,Beijing Jiaotong University,2018,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0914/c10400a157153/page.htm,,,,
A129,BA,Beijing Jiaotong University,2021,Nanjing Forestry University,https://cem.njfu.edu.cn/ShowJs.asp?id=520&xb=2,,,,
A130,BA,Beijing Jiaotong University,2014,Anhui Normal University,https://jgxy.ahnu.edu.cn/info/1174/9749.htm,,,,
A131,BA,Beijing Jiaotong University,2002,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1119/1076.htm,,,,
A132,BA,Beijing Jiaotong University,2015,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1119/1069.htm,,,,
A133,BA,Beijing Jiaotong University,2013,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/2910.htm,,,,
A134,BA,Beijing Jiaotong University,2018,University of Science and Technology Beijing,https://sem.ustb.edu.cn/szll/szdw/szm/qb/lhyh/index.htm,,,,
A135,BA,Beijing Jiaotong University,2008,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100206,,,,
A136,BA,Beijing Jiaotong University,2019,Zhengzhou University of Aeronautics,http://sxy.zua.edu.cn/info/1166/5588.htm,,,,
A137,BA,Beijing Jiaotong University,2010,Zhengzhou University of Aeronautics,http://sxy.zua.edu.cn/info/1264/4539.htm,,,,
A138,BA,Beijing Jiaotong University,,North China Electric Power University,https://business.ncepu.edu.cn/szll2/szdw/126969.htm,,,,
A139,BA,Beijing Jiaotong University,2009,Beijing Jiaotong University,http://sem.bjtu.edu.cn/show-594-203.html,,,,
A140,BA,Beijing Jiaotong University,2021,Beijing Jiaotong University,2022-5-613 from李爽,,,,
A141,BA,Beijing Jiaotong University,2018,Beijing Jiaotong University,2022-5-614 from李爽,,,,
A142,BA,Beijing Jiaotong University,2017,Inner Mongolia University of Finance and Economics,2022-5-615 from李爽,,,,
A143,BA,Beijing Jiaotong University,2015,Beijing Jiaotong University,2022-5-616 from李爽,,,,
A144,MS&E,Beijing Normal University,2012,Chongqing Jiaotong University,http://jgxy2.cqjtu.edu.cn/index.php?m=content&c=index&a=show&catid=91&id=86,,,,
A145,MS&E,Beijing Normal University,,University of International Business and Economics,http://schpa.uibe.edu.cn/szdw/xxjs/xzglx/22362.htm,,,,
A146,MS&E,Beijing Normal University,1991,China Three Gorges University,https://jg.ctgu.edu.cn/info/1167/1251.htm,,,,
A147,MS&E,Beijing Normal University,2009,Harbin University of Science and Technology,http://sem.hrbust.edu.cn/info/1042/1236.htm,,,,
A148,MS&E,Beijing Normal University,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/chenhui/zh_CN/index.htm,,,,
A149,MS&E,Beijing Normal University,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/ZhuYang/en/index.htm,,,,
A150,MS&E,Beijing Normal University,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/chuxiaoyuan/zh_CN/index.htm,,,,
A151,MS&E,Beijing Normal University,2004,Shanghai University of Finance and Economics,https://spea.sufe.edu.cn/4627/list.htm,,,,
A152,MS&E,Beijing Normal University,1994,Shanghai Maritime University,https://sem.shmtu.edu.cn/2020/1126/c5331a35220/page.htm,,,,
A153,MS&E,Beijing Normal University,,University of Electronic Science and Technology of China,https://www.mgmt.uestc.edu.cn/jsnry.jsp?urltype=news.NewsContentUrl&wbtreeid=1020&wbnewsid=29604,,,,
A154,BA,Beijing Normal University,2006,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156850/page.htm,,,,
A155,BA,Beijing Normal University,2008,Beijing Foreign Studies University,https://ibs.bfsu.edu.cn/teacher.aspx?m=20140924134241013079&t_id=20150511090641117581,,,,
A156,BA,Beijing Normal University,2013,Minzu University of China,https://ms.muc.edu.cn/info/1135/1749.htm,,,,
A157,BA,Beijing Normal University,2010,Jiangxi Agricultural University,http://jingmao.jxau.edu.cn/3b/fb/c9163a80891/page.htm,,,,
A158,BA,Beijing Normal University,2013,Henan Normal University,https://www.htu.edu.cn/sxy/2014/1110/c302a16646/page.htm,,,,
A159,BA,Beijing Normal University,2001,Shaanxi Normal University,http://ibs.snnu.edu.cn/info/1287/5619.htm,,,,
A160,BA,Beijing Normal University,2002,Sun Yat-sen University,http://bus.sysu.edu.cn/teacher/FuZhengping,,,,
A161,BA,Beijing Normal University,2007,University of International Business and Economics,http://schpa.uibe.edu.cn/szdw/xxjs/ggjjx/24490.htm,,,,
A162,BA,Beijing Normal University,,University of International Business and Economics,http://schpa.uibe.edu.cn/szdw/xxjs/ggsyglx/22381.htm,,,,
A163,BA,Beijing Normal University,2005,Nanjing Audit University,https://sea.nau.edu.cn/2021/0708/c7385a83079/page.htm,,,,
A164,BA,Beijing Normal University,,Kunming University of Science and Technology,https://mef.kmust.edu.cn/info/1297/1647.htm,,,,
A165,BA,Beijing Normal University,2002,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100109,,,,
A166,BA,Beijing Normal University,2005,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100053,,,,
A167,BA,Beijing Normal University,2021,Zhejiang Normal University,http://sxy.zjnu.edu.cn/2022/0329/c6491a390613/page.htm,,,,
A168,BA,Beijing Normal University,2017,Zhengzhou University,http://www5.zzu.edu.cn/sxy/info/1317/4277.htm,,,,
A169,MS&E,Beijing University of Chemical Technology,2019,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156809/page.htm,,,,
A170,MS&E,Beijing University of Chemical Technology,2012,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0910/c10400a156754/page.htm,,,,
A171,MS&E,Beijing University of Posts and Telecommunications,2015,North China University of Water Resources and Electric Power,https://www5.ncwu.edu.cn/guanjing/contents/653/37568.html,,,,
A172,MS&E,Beijing University of Posts and Telecommunications,2013,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/sjkxydsjjzx/106369.htm,,,,
A173,MS&E,Beijing University of Posts and Telecommunications,2004,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/huangyijun/zh_CN/index.htm,,,,
A174,MS&E,Beijing University of Posts and Telecommunications,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/zhangxiaohang/zh_CN/index.htm,,,,
A175,MS&E,Beijing University of Posts and Telecommunications,2003,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/zhaoxinyan/zh_CN/index.htm,,,,
A176,MS&E,Beijing University of Posts and Telecommunications,,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/shiwenhua/zh_CN/index.htm,,,,
A177,MS&E,Beijing University of Posts and Telecommunications,2011,Beijing University of Posts and Telecommunications,https://teacher.bupt.edu.cn/pengruohong/zh_CN/index.htm,,,,
A178,MS&E,Beijing University of Posts and Telecommunications,2009,China University of Petroleum(East China),http://sem.upc.edu.cn/_upload/article/files/19/5f/4bfce7014d2ab494341a42956f54/25f65996-9106-429a-85f6-47baeee95751.pdf,,,,
A179,BA,Beijing University of Posts and Telecommunications,2015,Shanghai International Studies University,http://www.sbm.shisu.edu.cn/llj/list.htm,,,,
A180,MS&E,Beijing University of Technology,2007,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/sjkxydsjjzx/106368.htm,,,,
A181,BA,Beijing University of Technology,1992,Beijing University of Technology,https://www.bjut.edu.cn/jjyglxy/info/1119/1041.htm,,,,
A182,BA,Beijing University of Technology,2013,Shandong Technology and Business University,https://gsgl.sdtbu.edu.cn/info/1055/4299.htm,,,,
A183,BA,Beijing University of Technology,2004,Kunming University of Science and Technology,https://mef.kmust.edu.cn/info/1296/1596.htm,,,,
A184,MS&E,Capital Normal University,2014,Beijing University of Chemical Technology,https://sem.buct.edu.cn/2021/0913/c10400a156819/page.htm,,,,
A185,BA,Capital Normal University,2002,Xiangtan University,http://business.xtu.edu.cn/index.jsp?cc=cshizidw&cd=teacher&ac=view&id=100024,,,,
A186,MS&E,Capital University of Economics and Business,2014,Shanxi University,http://jgxy.sxu.edu.cn/szdw/jiangsshi/60600.htm,,,,
A187,MS&E,Capital University of Economics and Business,2012,Shanxi University,http://jgxy.sxu.edu.cn/szdw/jiangsshi/60554.htm,,,,
A188,MS&E,Capital University of Economics and Business,2015,Capital University of Economics and Business,https://ggxy.cueb.edu.cn/szdw/xxglyxxxtx/106675.htm,,,,
A189,BA,Capital University of Economics and Business,2020,Shantou University,http://biz.stu.edu.cn/info/1318/16178.htm,,,,
A190,BA,Capital University of Economics and Business,2011,Henan Normal University,https://www.htu.edu.cn/sxy/2010/1013/c307a17878/page.htm,,,,
